"Name","Count","Expire count","Wake count","Active since (ms)","Total time (ms)","Average time (ms)","Sleep time (ms)","Max time (ms)","Last change"
"event2-151","9790","0","0","0","527","0","0","0","911893239492"
"event0-151","135","0","0","0","7","0","0","0","911453969475"
"kgsl","4143","0","0","0","146986","35","0","1114","885940236567"
"msmfb_idle_lock","4585","0","0","0","317","0","0","285","885913075921"
"KeyEvents","1285","0","0","0","225","0","0","108","885794667719"
"event3-151","1284","0","0","0","127","0","0","1","885794576166"
"alarm","21","0","0","0","255","12","0","37","881769673822"
"ds2784-battery","18","0","0","0","1350","75","0","370","873913747282"
"alarm_rtc","0","0","0","0","0","0","0","0","0"
"power-supply","8","0","0","0","3","0","0","1","823799703095"
"msm_camera","1","0","0","0","691","691","0","691","48041249750"
"msm_camera_wake","1","0","0","0","691","691","0","691","48041249750"
"s5k3e2fx","1","0","0","0","502","502","0","502","48039754388"
"radio-interface","3","0","0","0","3734","1244","0","1732","28771321772"
"GPS","1","0","0","0","1001","1001","0","1001","28769246575"
"SMD_RPCCALL","53","0","0","0","22","0","0","5","27768727778"
"rpc-interface","3","0","0","0","177","59","0","160","27768147944"
"rpc_read","2","0","0","0","152","76","0","147","27608144282"
"ApmCommandThread","19","0","0","0","682","35","0","672","22160542963"
"event1-151","0","0","0","0","0","0","0","0","0"
"event5-151","0","0","0","0","0","0","0","0","0"
"event6-151","0","0","0","0","0","0","0","0","0"
"event4-151","0","0","0","0","0","0","0","0","0"
"audio_pcm_suspend","0","0","0","0","0","0","0","0","0"
"audio_pcm_idle","0","0","0","0","0","0","0","0","0"
"rpc_read","12","0","0","0","0","0","0","0","13666402376"
"rpc_read","2","0","0","0","0","0","0","0","13024495710"
"power-supply","4","0","0","0","14","3","0","12","10519009049"
"power-supply","4","0","0","0","13","3","0","11","10518856462"
"dock","1","0","0","0","25","25","0","25","9830179688"
"rpc_server","1","0","0","0","0","0","0","0","9804820417"
"rpc_read","1","0","0","0","0","0","0","0","9804088020"
"mmc_delayed_work","1","0","0","0","163","163","0","163","7127545420"
"rpc_read","1","0","0","0","0","0","0","0","7257520204"
"gpio_input","0","0","0","0","0","0","0","0","0"
"gpio_kp","1","0","0","0","14","14","0","14","6229466214"
"SMD_DATA7","0","0","0","0","0","0","0","0","0"
"SMD_DATA6","0","0","0","0","0","0","0","0","0"
"SMD_DATA5","0","0","0","0","0","0","0","0","0"
"msm_serial_hs_dma","0","0","0","0","0","0","0","0","0"
"msm_serial_hs_rx","0","0","0","0","0","0","0","0","0"
"flashlight","0","0","0","0","0","0","0","0","0"
"headset","0","0","0","0","0","0","0","0","0"
"rpc_read","1","0","0","0","0","0","0","0","4285366516"
"microp_i2c_present","0","0","0","0","0","0","0","0","0"
"venc_suspend","0","0","0","0","0","0","0","0","0"
"venc_idle","0","0","0","0","0","0","0","0","0"
"vdec_suspend","0","0","0","0","0","0","0","0","0"
"vdec_idle","0","0","0","0","0","0","0","0","0"
"i2c","0","0","0","0","0","0","0","0","0"
"unknown_wakeups","0","0","0","0","0","0","0","0","0"
"deleted_wake_locks","0","0","0","0","0","0","0","0","0"
"PowerManagerService","1","0","0","890394","890394","890394","0","890394","21657308098"
"vbus_present","1","0","0","902219","902219","902219","0","902219","9832529466"
"main","1","0","0","911821","911821","911821","0","911821","230000002"
"qmi0","1","1","0","0","493","493","0","493","8727156527"
"qmi1","1","1","0","0","492","492","0","492","8728285470"
"qmi2","1","1","0","0","498","498","0","498","8732191006"
"SMD_DS","4","4","0","0","4049","1012","0","1629","32235829827"
