"Type","Pkg","Time","Time(ms)","Interv(ms)","Count","OpPkg","OpMet"
"RTC_WAKEUP","com.android.providers.calendar","+21h58m14s225ms","79094225","0","0","com.android.providers.calendar","broadcastIntent"
"RTC_WAKEUP","com.google.android.gsf","+27m10s590ms","1630590","1800000","0","com.google.android.gsf","broadcastIntent"
"RTC","com.android.updater","+6d14h57m14s995ms","572234995","604800000","0","com.android.updater","startService"
"RTC","android","+22h56m17s156ms","82577156","0","0","android","broadcastIntent"
"RTC","com.miui.supermarket","+11h56m48s70ms","43008070","86400000","0","com.miui.supermarket","startService"
"RTC","com.android.updater","+11h1m14s985ms","39674985","86400000","0","com.android.updater","startService"
"RTC","com.android.providers.calendar","+5h57m15s233ms","21435233","0","0","com.android.providers.calendar","broadcastIntent"
"RTC","android","+17s156ms","17156","0","0","android","broadcastIntent"
"ELAPSED_WAKEUP","android","+11h56m57s163ms","43017163","43200000","0","android","broadcastIntent"
"ELAPSED","com.android.updater","+1d11h56m57s163ms","129417163","86400000","0","com.android.updater","startService"
"ELAPSED","android","+8m20s885ms","500885","0","0","android","broadcastIntent"
"ELAPSED","com.android.vending","+7m2s619ms","422619","86400000","0","com.android.vending","broadcastIntent"
