"Pkg","Cls","Created count","Total created time","Total created time(ms)","Total created time(%)","Max created time(ms)","Avg created time(ms)"
"com.android.inputmethod.latin",".LatinIME","1","3m3s819ms","183819","92%","183819","183819"
"com.android.email",".service.EmailBroadcastProcessorService","1","470ms","470","0%","470","470"
"com.google.android.gm",".downloadprovider.DownloadService","1","7s56ms","7056","3%","7056","7056"
"com.android.stk",".StkAppService","1","2m42s98ms","162098","81%","162098","162098"
"com.android.providers.calendar",".CalendarAppWidgetService","2","6s16ms","6016","3%","3994","3008"
"com.android.providers.downloads",".DownloadService","1","9s309ms","9309","4%","9309","9309"
"com.google.android.backup",".BackupTransportService","1","3m4s570ms","184570","92%","184570","184570"
"com.android.providers.media",".MediaScannerService","1","6s146ms","6146","3%","6146","6146"
"com.google.android.location",".NetworkLocationService","1","3m0s186ms","180186","90%","180186","180186"
"com.google.android.gsf",".gtalkservice.service.GTalkService","1","2m41s157ms","161157","80%","161157","161157"
"com.google.android.partnersetup",".AppHiderService","1","1s601ms","1601","0%","1601","1601"
"com.android.phone",".BluetoothHeadsetService","1","3m1s497ms","181497","91%","181497","181497"
"com.google.android.gsf",".loginservice.GoogleLoginService","4","6s96ms","6096","3%","4664","1524"
"com.google.android.gsf",".checkin.CheckinService","1","1s661ms","1661","0%","1661","1661"
"com.android.email","com.android.exchange.SyncManager","1","631ms","631","0%","631","631"
"com.android.defcontainer",".DefaultContainerService","1","120ms","120","0%","120","120"
"com.android.providers.calendar",".EmptyService","1","9s579ms","9579","4%","9579","9579"
"com.android.bluetooth",".opp.BluetoothOppService","1","2s112ms","2112","1%","2112","2112"
"com.google.android.gsf",".update.SystemUpdateService","1","621ms","621","0%","621","621"
"com.google.android.talk",".videochat.RefreshCameraStateProcessorService","1","2s202ms","2202","1%","2202","2202"
"com.android.systemui",".statusbar.StatusBarService","1","3m4s290ms","184290","92%","184290","184290"
"com.android.mms",".transaction.SmsReceiverService","1","4s464ms","4464","2%","4464","4464"
"com.google.android.gm",".MailIntentService","1","2s92ms","2092","1%","2092","2092"
"android","com.android.internal.service.wallpaper.ImageWallpaper","1","3m4s340ms","184340","92%","184340","184340"
"com.android.vending","com.google.android.finsky.billing.iab.PendingNotificationsService","1","2m40s6ms","160006","80%","160006","160006"
